feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.f__Bromoviridae.g__Ilarvirus	Without_combined	MS2	0.688580325427002	0.0948364652652644	77	77	1.67696617150183e-08	1.61926282759292e-07
k__Viruses.f__Narnaviridae.g__Narnavirus	Without_combined	MS2	0.690481015087388	0.0948480957005173	77	77	1.60601647209876e-08	1.61926282759292e-07
k__Viruses.f__Totiviridae.g__Totivirus	Without_combined	MS2	0.688669664873272	0.0949101404495575	77	77	1.70020270344068e-08	1.61926282759292e-07
k__Viruses.f__Potyviridae.g__Tritimovirus	Without_combined	MS2	0.68869257056418	0.0949129716206197	77	77	1.70044544179771e-08	1.61926282759292e-07
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus	Without_combined	MS2	0.688640032973744	0.0948657911945802	77	77	1.6852048309758e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Siccibacter	Without_combined	MS2	0.68727260949212	0.0917285751185891	77	77	8.7774735950892e-09	1.61926282759292e-07
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Neosynechococcus	Without_combined	MS2	0.689177668052205	0.0928928376615915	77	77	1.08314814632873e-08	1.61926282759292e-07
k__Bacteria.p__Cyanobacteria.o__Nostocales.f__Nostocaceae.g__Dolichospermum	Without_combined	MS2	0.692310395952279	0.0938347296618567	77	77	1.23846090774126e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Altibacter	Without_combined	MS2	0.687237194600035	0.0936676568075415	77	77	1.34365237624501e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanomethylophilus	Without_combined	MS2	0.688331657557389	0.0940541681203941	77	77	1.42390293340723e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Nitritalea	Without_combined	MS2	0.682681555208047	0.0919961113482184	77	77	1.04244268075531e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Without_combined	MS2	0.685463113853907	0.0936055498586028	77	77	1.38554065782617e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea	Without_combined	MS2	0.680314542905651	0.0907781974165158	77	77	8.90166650301466e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter	Without_combined	MS2	0.68360819294719	0.0931300268526395	77	77	1.30843498886517e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Reinekea	Without_combined	MS2	0.679191192239428	0.0888188805095341	77	77	6.88130545738627e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Natronomonas	Without_combined	MS2	0.694792258391225	0.0952269908665724	77	77	1.58083601908565e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natronobacterium	Without_combined	MS2	0.680652152366709	0.0941169050896881	77	75	1.76628557541062e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Without_combined	MS2	0.68562214509523	0.0934514472230382	77	77	1.33406752044999e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Without_combined	MS2	0.689172073523834	0.0925491231322941	77	77	1.0050795624141e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Without_combined	MS2	0.688767948506386	0.0929287180213539	77	77	1.10208397315922e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gaetbulibacter	Without_combined	MS2	0.685184542451242	0.094065385528838	77	77	1.5436099905473e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Without_combined	MS2	0.691446323488055	0.093035458208364	77	77	1.06206005605249e-08	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus	Without_combined	MS2	0.691152452839219	0.093356530047164	77	77	1.14577271917788e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitinibacter	Without_combined	MS2	0.692504873386102	0.0926997210277378	77	77	9.65977005867593e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanoregulaceae.g__Methanolinea	Without_combined	MS2	0.692030402319525	0.0951586448517814	77	77	1.65636607577704e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanolacinia	Without_combined	MS2	0.691358824890344	0.0912708467958211	77	65	7.28253399060088e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Methanococci.o__Methanococcales.f__Methanocaldococcaceae.g__Methanotorris	Without_combined	MS2	0.685240563789136	0.0918596428074423	77	3	9.4818359151811e-09	1.61926282759292e-07
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Myxosarcina	Without_combined	MS2	0.681726790854248	0.0931311182343508	77	77	1.37522767042527e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Gayadomonas	Without_combined	MS2	0.690174189599979	0.0933771630288938	77	77	1.17652549851009e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylomarinum	Without_combined	MS2	0.681442518688553	0.0893306144260158	77	77	9.10640056503754e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Jeotgalibacillus	Without_combined	MS2	0.691323363357725	0.094572432762438	77	77	1.48425758382774e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae.g__Zymobacter	Without_combined	MS2	0.680047965632001	0.0899538318310122	77	77	7.66047105015934e-09	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paeniglutamicibacter	Without_combined	MS2	0.685368554833812	0.0916212328593469	77	77	8.97021619769147e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halobellus	Without_combined	MS2	0.694259791367833	0.0939407663969231	77	77	1.21560415380785e-08	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Flaviramulus	Without_combined	MS2	0.687547782886637	0.0907687804426904	77	1	7.08462460255488e-09	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Cyclobacterium	Without_combined	MS2	0.682625785063763	0.0907745621733335	77	77	8.995120987262e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Gallionellales.f__Gallionellaceae.g__Sideroxydans	Without_combined	MS2	0.682492652094156	0.0900131311632472	77	77	6.78484708984308e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Sediminibacillus	Without_combined	MS2	0.687845887225336	0.0947092958015162	77	77	1.66117877675368e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Saccharospirillum	Without_combined	MS2	0.685519568116902	0.0897691453364931	77	77	9.7273984065668e-09	1.61926282759292e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea	Without_combined	MS2	0.692326682651712	0.093189810509371	77	77	1.07744897555944e-08	1.61926282759292e-07
k__Bacteria.p__Thermodesulfobacteria.c__Thermodesulfobacteria.o__Thermodesulfobacteriales.f__Thermodesulfobacteriaceae.g__Caldimicrobium	Without_combined	MS2	0.682011649061894	0.0923599522229412	77	77	1.15018078067762e-08	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Nocardioidaceae.g__Actinopolymorpha	Without_combined	MS2	0.685512410274085	0.0903801275660283	77	77	6.82522657630201e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodobiaceae.g__Candidatus_Phaeomarinobacter	Without_combined	MS2	0.692143381311845	0.0916026719911856	77	77	7.69524918749826e-09	1.61926282759292e-07
k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Candidatus_Koribacter	Without_combined	MS2	0.684694950430714	0.0918209318443516	77	77	9.52924407814538e-09	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermabacteraceae.g__Helcobacillus	Without_combined	MS2	0.694750454843836	0.0925837239917612	77	77	9.01695143273616e-09	1.61926282759292e-07
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Centipeda	Without_combined	MS2	0.68880564932663	0.0928489921607201	77	77	1.43560779568464e-08	1.61926282759292e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Allosalinactinospora	Without_combined	MS2	0.695709287844176	0.0938616840347157	77	77	1.16122115249279e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ponticoccus	Without_combined	MS2	0.690115812748856	0.0898232855007374	77	77	5.52389722869494e-09	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halogranum	Without_combined	MS2	0.691344757316514	0.0947013515589686	77	77	1.52538669469582e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Nautiliales.f__Nautiliaceae.g__Nautilia	Without_combined	MS2	0.681034486952616	0.0940433427960522	77	77	1.71659239177203e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Obesumbacterium	Without_combined	MS2	0.676671581405157	0.0904085740557321	77	77	8.62905708306112e-09	1.61926282759292e-07
k__Bacteria.p__Aquificae.c__Aquificae.o__Desulfurobacteriales.f__Desulfurobacteriaceae.g__Thermovibrio	Without_combined	MS2	0.682412521104416	0.0934943934217095	77	77	1.46331810006797e-08	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Aliiroseovarius	Without_combined	MS2	0.696979320714658	0.0942515409342745	77	77	1.23047977616272e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halobacterium	Without_combined	MS2	0.697996707204691	0.0954848315604793	77	77	1.5634927559361e-08	1.61926282759292e-07
k__Bacteria.p__Aquificae.c__Aquificae.o__Aquificales.g__Thermosulfidibacter	Without_combined	MS2	0.680290351424509	0.0905296050294202	77	77	8.48426532457131e-09	1.61926282759292e-07
k__Bacteria.p__Cyanobacteria.o__Stigonematales.g__Mastigocladopsis	Without_combined	MS2	0.683331626170798	0.0908423278694732	77	77	9.22369494673626e-09	1.61926282759292e-07
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Candidatus_Nitrosoarchaeum	Without_combined	MS2	0.692731022433167	0.0943474890182747	77	77	1.37011217993918e-08	1.61926282759292e-07
k__Bacteria.p__Thermotogae.c__Thermotogae.o__Mesoaciditogales.f__Mesoaciditogaceae.g__Mesoaciditoga	Without_combined	MS2	0.682181679362425	0.0905758669567776	77	77	7.7207667828852e-09	1.61926282759292e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Wolinella	Without_combined	MS2	0.700231489123734	0.0944967635931304	77	77	1.22278917243331e-08	1.61926282759292e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Halopiger	Without_combined	MS2	0.703987525890215	0.0965301923916682	77	77	1.74495851088174e-08	1.61926282759292e-07
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus	Without_combined	MS2	0.697985150408864	0.0945384973517167	77	77	1.28265395339536e-08	1.61926282759292e-07
