"","p__Acidobacteria","p__Actinobacteria","p__Aquificae","p__Armatimonadetes","p__Artverviricota","p__Atribacterota","p__Bacteroidetes","p__Balneolaeota","p__Caldiserica","p__Calditrichaeota","p__Candidatus_Absconditabacteria","p__Candidatus_Bipolaricaulota","p__Candidatus_Cloacimonetes","p__Candidatus_Korarchaeota","p__Candidatus_Lokiarchaeota","p__Candidatus_Micrarchaeota","p__Candidatus_Nanohaloarchaeota","p__Candidatus_Omnitrophica","p__Candidatus_Saccharibacteria","p__Candidatus_Thermoplasmatota","p__Chlamydiae","p__Chlorobi","p__Chloroflexi","p__Chrysiogenetes","p__Coprothermobacterota","p__Cossaviricota","p__Crenarchaeota","p__Cyanobacteria","p__Deferribacteres","p__Deinococcus-Thermus","p__Dictyoglomi","p__Elusimicrobia","p__Euryarchaeota","p__Fibrobacteres","p__Firmicutes","p__Fusobacteria","p__Gemmatimonadetes","p__Hofneiviricota","p__Ignavibacteriae","p__Kiritimatiellaeota","p__Kitrinoviricota","p__Lenarviricota","p__Negarnaviricota","p__Nitrospirae","p__Nucleocytoviricota","p__Peploviricota","p__Phixviricota","p__Pisuviricota","p__Planctomycetes","p__Preplasmiviricota","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Tenericutes","p__Thaumarchaeota","p__Thermodesulfobacteria","p__Thermotogae","p__un_k__Bacteria","p__Uroviricota","p__Verrucomicrobia","cancertype"
"TCGA-QT-A5XJ-01A",0,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A6GO-01A",0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39608,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-S7-A7WT-01A",0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37571,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SR-A6MT-01A",0,343,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68175,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-P7-A5NY-01A",0,230,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4414,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-W2-A7H5-01B",0,5790,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38381,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A70T-01A",0,469,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54205,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RM-A68W-01A",0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36822,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SR-A6MS-01A",0,701,0,0,0,0,35,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,24,0,40781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129423,0,0,0,21,0,0,0,0,0,"PCPG"
"TCGA-S7-A7WM-01A",0,3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49742,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A8AZ-01A",0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A70G-01B",0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8829,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-QR-A70A-01A",0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60632,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-P8-A5KD-11A",0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34195,0,0,0,0,0,0,0,0,0,"PCPG"
