feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.f__Closteroviridae.g__Ampelovirus	Without_combined	MS2	0.568306416755802	0.0864359874370659	77	77	2.75549430253286e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phietalikevirus	Without_combined	MS2	0.568645178221338	0.0873024068168511	77	77	3.12453952929598e-07	2.63864333372457e-06
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Without_combined	MS2	0.570343663267071	0.0850234368787995	77	75	2.60566788447372e-07	2.63864333372457e-06
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Without_combined	MS2	0.792200620068356	0.114991186885605	77	6	4.37827389700673e-08	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi21dtunalikevirus	Without_combined	MS2	0.568030234853194	0.0875090125236749	77	77	3.12875691220292e-07	2.63864333372457e-06
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	Without_combined	MS2	0.568794165382476	0.0869695035510123	77	77	3.01191702639618e-07	2.63864333372457e-06
k__Viruses.g__Bacilladnavirus	Without_combined	MS2	0.793688804117723	0.115790141849589	77	1	4.58924968562501e-08	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Without_combined	MS2	0.566451161309301	0.0862808810931088	77	77	2.48006714385161e-07	2.63864333372457e-06
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Marafivirus	Without_combined	MS2	0.568139227797506	0.0859265946845922	77	12	2.56769877487114e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Without_combined	MS2	0.571611808917062	0.0850636176699975	77	77	2.79984323738077e-07	2.63864333372457e-06
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Without_combined	MS2	0.568998665185898	0.0870332467411523	77	77	3.06391501271504e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Without_combined	MS2	0.568877087636397	0.0869483534037083	77	77	3.01496642678796e-07	2.63864333372457e-06
k__Viruses.f__Tectiviridae.g__Tectivirus	Without_combined	MS2	0.569015903186539	0.0871880260688591	77	76	3.12756966611609e-07	2.63864333372457e-06
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Without_combined	MS2	0.569136027178436	0.0870930904339337	77	77	3.10383166290783e-07	2.63864333372457e-06
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Without_combined	MS2	0.568422638928905	0.0872278603731965	77	76	3.07593982544383e-07	2.63864333372457e-06
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Without_combined	MS2	0.569000844198389	0.0871007434102818	77	77	3.09106831375924e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus	Without_combined	MS2	0.569349209981542	0.0868068860946242	77	77	3.02296431020171e-07	2.63864333372457e-06
k__Viruses.f__Reoviridae.g__Phytoreovirus	Without_combined	MS2	0.567919286620897	0.0872695751918875	77	76	3.01657691997192e-07	2.63864333372457e-06
k__Viruses.f__Bromoviridae.g__Alfamovirus	Without_combined	MS2	0.568917081923772	0.086974839634106	77	77	3.03143027092734e-07	2.63864333372457e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Without_combined	MS2	0.569576976715331	0.0859647682049875	77	77	2.76971035829073e-07	2.63864333372457e-06
k__Viruses.f__Sphaerolipoviridae.g__Gammasphaerolipovirus	Without_combined	MS2	0.569034771749043	0.0870996241646195	77	76	3.09504436821267e-07	2.63864333372457e-06
k__Viruses.f__Flaviviridae.g__Pegivirus	Without_combined	MS2	0.569017922320499	0.0870419957483077	77	77	3.0698318882485e-07	2.63864333372457e-06
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Vesiculovirus	Without_combined	MS2	0.570114812446634	0.0869852193577778	77	76	2.91076153946419e-07	2.63864333372457e-06
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Lyssavirus	Without_combined	MS2	0.56904024276836	0.0869299553784621	77	77	3.0305117582966e-07	2.63864333372457e-06
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus	Without_combined	MS2	0.571091070784676	0.0822750684342393	77	71	2.2437438276638e-07	2.63864333372457e-06
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Without_combined	MS2	0.568993577123712	0.086952510293904	77	77	3.03327937637912e-07	2.63864333372457e-06
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Without_combined	MS2	0.569058187884866	0.0870134331673096	77	77	3.06484120999967e-07	2.63864333372457e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Without_combined	MS2	0.569387622671463	0.0868810227749698	77	77	3.05897852495309e-07	2.63864333372457e-06
k__Viruses.g__Polemovirus	Without_combined	MS2	0.569054272905023	0.0871104839970405	77	77	3.09720532771457e-07	2.63864333372457e-06
