"","c__Acidimicrobiia","c__Acidithiobacillia","c__Acidobacteriia","c__Actinomycetia","c__Alphaproteobacteria","c__Alsuviricetes","c__Amabiliviricetes","c__Anaerolineae","c__Aquificae","c__Archaeoglobi","c__Ardenticatenia","c__Atribacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Blastocatellia","c__Caldilineae","c__Caldisericia","c__Calditrichia","c__Candidatus_Babeliae","c__Candidatus_Brocadiia","c__Candidatus_Methanoliparia","c__Candidatus_Micrarchaeia","c__Candidatus_Nanohalobia","c__Candidatus_Saccharimonia","c__Candidatus_Thermofonsia","c__Candidatus_Uabimicrobiia","c__Caudoviricetes","c__Chitinophagia","c__Chlamydiia","c__Chlorobia","c__Chloroflexia","c__Chrysiogenetes","c__Chthonomonadetes","c__Clostridia","c__Conexivisphaeria","c__Coprothermobacteria","c__Coriobacteriia","c__Cytophagia","c__Deferribacteres","c__Dehalococcoidia","c__Deinococci","c__Deltaproteobacteria","c__Dictyoglomia","c__Ellioviricetes","c__Elusimicrobia","c__Endomicrobia","c__Epsilonproteobacteria","c__Erysipelotrichia","c__Faserviricetes","c__Fibrobacteria","c__Fimbriimonadia","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Gemmatimonadetes","c__Gloeobacteria","c__Halobacteria","c__Herviviricetes","c__Holophagae","c__Hydrogenophilalia","c__Ignavibacteria","c__Kiritimatiellae","c__Ktedonobacteria","c__Limnochordia","c__Malgrandaviricetes","c__Megaviricetes","c__Methanobacteria","c__Methanococci","c__Methanomicrobia","c__Methylacidiphilae","c__Mollicutes","c__Naldaviricetes","c__Negativicutes","c__Nitriliruptoria","c__Nitrososphaeria","c__Nitrospira","c__Oligoflexia","c__Opitutae","c__Papovaviricetes","c__Phycisphaerae","c__Pisoniviricetes","c__Planctomycetia","c__Pokkesviricetes","c__Revtraviricetes","c__Rubrobacteria","c__Saprospiria","c__Spartobacteria","c__Sphingobacteriia","c__Spirochaetia","c__Stelpaviricetes","c__Synergistia","c__Tectiliviricetes","c__Tepidiformia","c__Thermococci","c__Thermodesulfobacteria","c__Thermodesulfovibrionia","c__Thermoleophilia","c__Thermomicrobia","c__Thermoplasmata","c__Thermoprotei","c__Thermotogae","c__Tichowtungiia","c__Tissierellia","c__Tolucaviricetes","c__un_k__Bacteria","c__un_p__Bacteroidetes","c__un_p__Balneolaeota","c__un_p__Candidatus_Absconditabacteria","c__un_p__Candidatus_Bipolaricaulota","c__un_p__Candidatus_Cloacimonetes","c__un_p__Candidatus_Korarchaeota","c__un_p__Candidatus_Lokiarchaeota","c__un_p__Candidatus_Omnitrophica","c__un_p__Candidatus_Saccharibacteria","c__un_p__Candidatus_Thermoplasmatota","c__un_p__Chloroflexi","c__un_p__Cyanobacteria","c__un_p__Firmicutes","c__un_p__Tenericutes","c__un_p__Thaumarchaeota","c__un_p__Verrucomicrobia","c__Verrucomicrobiae","c__Vicinamibacteria","c__Zetaproteobacteria","cancertype"
"TCGA-OR-A5LA-01",0,0,0,801,0,0,0,0,0,0,0,0,27954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,163,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5LJ-01",0,0,0,321,0,0,0,0,0,0,0,0,17344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5LB-01",0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JK-01",0,0,0,270,0,0,0,0,0,0,0,0,30647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JB-01",0,0,0,277,0,0,0,0,0,0,0,0,27595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5K2-01",0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JR-01",0,0,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JI-01",0,0,0,146,0,0,0,0,0,0,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5K0-01",0,0,0,758,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5K1-01",0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5LD-01",0,0,0,332,0,0,0,0,0,0,0,0,11803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5J1-01",0,0,0,183,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5KU-01",0,0,0,1036,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
"TCGA-OR-A5JM-01",0,0,0,344,0,0,0,0,0,0,0,0,302,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12819,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ACC"
