feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Without_combined	MS2	0.634044476365202	0.0934115176516497	77	77	1.01311474626033e-07	1.79651991218501e-06
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Without_combined	MS2	0.62972055783045	0.0953463349192718	77	77	1.37090037292976e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Without_combined	MS2	0.62963762360152	0.0952596659954514	77	77	1.3506902307943e-07	1.79651991218501e-06
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Without_combined	MS2	0.62963410164671	0.0954164050032403	77	77	1.39318252406942e-07	1.79651991218501e-06
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Without_combined	MS2	0.629725555643561	0.0955055531179955	77	77	1.38906442912685e-07	1.79651991218501e-06
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Without_combined	MS2	0.629667618141929	0.0954157729277963	77	77	1.38785493380353e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus	Without_combined	MS2	0.630119295264838	0.0951394588863946	77	77	1.32492620505181e-07	1.79651991218501e-06
k__Viruses.f__Reoviridae.g__Phytoreovirus	Without_combined	MS2	0.630308118339137	0.0955172453059185	77	77	1.37476003241577e-07	1.79651991218501e-06
k__Viruses.f__Bromoviridae.g__Alfamovirus	Without_combined	MS2	0.629545917656256	0.0952898282581526	77	77	1.36227352589808e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Without_combined	MS2	0.631181841983862	0.0942941093861658	77	77	1.14581540680682e-07	1.79651991218501e-06
k__Viruses.f__Sphaerolipoviridae.g__Gammasphaerolipovirus	Without_combined	MS2	0.629673844856731	0.0954165223773966	77	77	1.38923118126714e-07	1.79651991218501e-06
k__Viruses.f__Flaviviridae.g__Pegivirus	Without_combined	MS2	0.629603988225927	0.0953606359073367	77	77	1.37876200106297e-07	1.79651991218501e-06
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Vesiculovirus	Without_combined	MS2	0.630214398610603	0.0952720580268017	77	77	1.35592811023819e-07	1.79651991218501e-06
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Lyssavirus	Without_combined	MS2	0.629741892544103	0.0952496587815133	77	77	1.35146848865965e-07	1.79651991218501e-06
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Without_combined	MS2	0.629665687500798	0.0952702319167985	77	77	1.35663437685522e-07	1.79651991218501e-06
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Without_combined	MS2	0.629478928906137	0.0953378256796315	77	77	1.381837507484e-07	1.79651991218501e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Without_combined	MS2	0.630113999209574	0.095214320387342	77	77	1.34251352917639e-07	1.79651991218501e-06
k__Viruses.g__Polemovirus	Without_combined	MS2	0.629680547854561	0.0954284054209678	77	77	1.39130918158401e-07	1.79651991218501e-06
k__Viruses.f__Leviviridae.g__Levivirus	Without_combined	MS2	0.630243061725117	0.0950968123159878	77	77	1.31498625155574e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus	Without_combined	MS2	0.629669165276042	0.0953717400392359	77	77	1.37971214864421e-07	1.79651991218501e-06
k__Viruses.f__Reoviridae.g__Aquareovirus	Without_combined	MS2	0.629556697626661	0.0953650549718782	77	77	1.3803982921406e-07	1.79651991218501e-06
k__Viruses.f__Bromoviridae.g__Ilarvirus	Without_combined	MS2	0.629664278951301	0.0952721743723619	77	77	1.35643173432528e-07	1.79651991218501e-06
