file_id,raw_reads,not_human_reads,not_human_reads_after_qc,microbe_reads,id
97869ee7-7a99-4723-aeaf-5351aaed1bb3,106817358,1270468,193540,125876,TCGA-OR-A5K4-01A-11R-A29S-07
9a100fca-67f0-4dd0-819e-cffd2252b4ec,146112548,1680895,219864,146134,TCGA-OR-A5JL-01A-11R-A29S-07
9bbdcf34-73dd-49ce-b8dc-b64fe05b3a31,69021290,2598222,98712,54372,TCGA-OR-A5KT-01A-11R-A29S-07
9f35f301-9683-4cdf-bb2b-1d6e5928ff96,151262135,1941675,228966,122616,TCGA-OR-A5JV-01A-11R-A29S-07
9f925927-5638-4861-9df5-fb2a9124f48c,153421393,3308981,254452,169150,TCGA-PK-A5HB-01A-11R-A29S-07
a0169877-dd20-4c7d-826c-bb424199a036,141594750,4111935,244094,181420,TCGA-OR-A5J6-01A-31R-A29S-07
a03d4b08-f826-4216-878e-f8c818a3791c,144361293,1730721,275160,154512,TCGA-OR-A5K9-01A-11R-A29S-07
a99d8887-ea92-46c0-ba22-2d4f510390db,102220299,1439654,188832,133168,TCGA-OR-A5LS-01A-11R-A29S-07
ac40bee6-e98c-47fc-94c2-9b1cd0ed6142,142570560,1577523,250012,186918,TCGA-OR-A5JC-01A-11R-A29S-07
b753855e-9a05-44c0-80ab-ac31ec10fbef,187247846,2279610,280352,200868,TCGA-PA-A5YG-01A-11R-A29S-07
b9dee63d-1b14-4e38-b691-e7e76dcc4db6,168567045,4048052,258496,181006,TCGA-OR-A5JQ-01A-11R-A29S-07
bc09980b-ca12-4fcd-8218-5b738701fd83,180358328,2570791,309608,172056,TCGA-OR-A5J9-01A-11R-A29S-07
c75b799f-6e0a-4cdd-b112-d47cf79b122d,187156137,2489842,544632,207776,TCGA-OR-A5LP-01A-11R-A29S-07
c93f2b73-997f-4224-a0e9-cf7f6e2afdcc,154123689,2480182,397500,199110,TCGA-P6-A5OG-01A-22R-A29S-07
c9d871ba-e6ca-49b0-99e1-02d2760291f7,149677351,1882999,257416,152804,TCGA-OR-A5JY-01A-31R-A29S-07
d18e3fad-68c9-4320-9969-3837c2ae8930,152925624,2417250,232850,132124,TCGA-OR-A5JJ-01A-11R-A29S-07
d339b92c-dd3a-4a07-b4ef-a68e1815c980,111395981,2003570,160074,122516,TCGA-OR-A5L4-01A-11R-A29S-07
d48a588b-b49b-4b35-bd73-141669318f13,140398699,1681097,238736,152736,TCGA-OR-A5K6-01A-11R-A29S-07
d4be33cc-1bc5-4e17-961c-fbac163326aa,174264886,2635150,744098,185890,TCGA-P6-A5OF-01A-11R-A29S-07
d869d50b-7f80-40ef-aeeb-1b0c9919fd17,165655714,3088521,292434,159680,TCGA-OR-A5LG-01A-11R-A29S-07
dbfd4261-2413-4571-8211-936eaa34aa19,162044844,2501797,296538,166548,TCGA-OR-A5JS-01A-11R-A29S-07
dc325248-ad22-48b2-853c-19ae117c8d83,87850755,999087,140272,101244,TCGA-OR-A5LK-01A-11R-A29S-07
dd76dd00-b1e5-4245-8059-6b2966cf257d,148388742,2469661,223626,108632,TCGA-OR-A5JG-01A-11R-A29S-07
e416a6e2-7ee9-4a1d-adc1-6db8738a6cf3,135041439,1358788,260106,171988,TCGA-OR-A5JA-01A-11R-A29S-07
e51f1157-ef27-47b9-bd59-1456cd7eb33b,151392131,2680532,363194,192696,TCGA-OR-A5JT-01A-11R-A29S-07
e57173aa-8a14-4f37-8328-ab66df9e8e79,160070767,2890233,361074,226002,TCGA-OR-A5LH-01A-11R-A29S-07
e73e3a8a-f710-4189-bf50-2673adcb989c,135625377,1345831,226560,138544,TCGA-OR-A5KO-01A-11R-A29S-07
e7cefdbe-460f-4c48-ada4-53911fa7343a,149863719,2151459,285978,169550,TCGA-OR-A5LM-01A-11R-A29S-07
eb8809ea-2c62-4b0f-9bd5-b4b4ce313728,99649911,1559581,147872,96070,TCGA-OR-A5LT-01A-11R-A29S-07
ed8186fc-f945-4483-8532-941c8d3a57fe,97398736,1836177,170400,116924,TCGA-OR-A5LC-01A-11R-A29S-07
fa77f658-db3a-48a2-999c-39a44ef832a7,155590625,1802368,219292,130628,TCGA-OR-A5JW-01A-11R-A29S-07
