"","2031199_A5","B220819_C8","D15.01276.01","D18.02786.02","D19.01661.02","D20.00840.02","D21.00483.01","N181650.A7","N181650_A2","N190186.B1","N190393.A3","N191724.A2","N210403.B3","N211161.A4","N212541.A2","N220339.A4","X18.06732.02","X18.09852.02","X19.08326.02","Z0502927.A3","Z0520920.B3","Z0521061.B4","Z0521146.A2","Z0940919.A1","Z0952754.A2","a78804"
"Calditerricola",12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacillus",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,46,0,7,0,0
"d__Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_uncultured",18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spiroplasma",687,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroleplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"Catenibacterium",21,0,0,0,0,0,0,0,14,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus",0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
"Erysipelatoclostridium",195,9,0,148,0,0,0,21,116,0,4,0,0,14,0,0,31,0,0,0,5,0,0,9,27,0
"[Anaerorhabdus]_furcosa_group",0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,0,0,0,0
"Allobaculum",4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dubosiella",78,0,0,25,10,0,0,0,41,0,15,19,21,0,2303,14,0,0,0,0,0,0,0,0,7,0
"Erysipelotrichaceae",0,0,0,0,0,0,17,0,2,0,2,0,0,0,0,0,32,0,0,83,734,2,4,0,0,8
"Faecalicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,0
"Holdemanella",77,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,51,0,0,0,0,0
"ZOR0006",0,0,0,0,0,0,0,3,14,5,0,0,0,0,0,0,0,0,0,0,0,8,59,6,0,0
"Exiguobacterium",29,0,0,120,0,0,0,15,15,20,0,0,0,0,0,0,0,0,0,0,0,24,192,113,0,0
"Atopostipes",0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"Trichococcus",0,0,0,37,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",531,17,0,0,99,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus",235,0,0,0,22,0,6,371,157,101,0,16,0,0,76,0,14,0,9,48,39,109,65,8,0,132
"Leuconostoc",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0
"Lactococcus",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"Streptococcus",46,0,8,254,0,0,696,0,8,0,11,0,23,3,19,0,0,23,34,15,128,6,24,0,0,40
"Candidatus_Bacilloplasma",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Mycoplasma",0,0,2,3,0,0,0,0,0,0,0,35,316,0,0,0,15,0,0,26,328,23,0,0,0,4
"Cohnella",8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus",9,0,0,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,75,0,26,16,55,0,0
"Thermobacillus",2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RF39",7,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,84,0
"Salinicoccus",0,0,0,182,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Novibacillus",5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Firmicutes_Bacilli_uncultured_uncultured_uncultured",4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldicoprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
"Christensenella",0,0,0,0,0,0,0,68,0,9,0,0,0,0,0,0,0,0,0,0,0,17,9,18,0,0
"Christensenellaceae_R-7_group",9,0,0,199,0,0,2,0,5,0,4,4,2,0,9,9,0,0,0,0,0,0,0,0,0,4
"d__Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_uncultured",0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,0,0,0,39,0
"Fastidiosipila",13,0,0,55,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"d__Bacteria_Firmicutes_Clostridia_Clostridia_Hungateiclostridiaceae_uncultured",0,0,0,42,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
"Clostridia_UCG-014",22,6,34,64,0,7,9,0,30,0,0,0,21,0,65,2,32,7,10,67,634,13,0,0,162,14
"Clostridia_vadinBB60_group",7,0,0,0,2,0,0,0,0,0,0,2,10,0,8,0,3,0,0,10,132,0,0,0,0,0
"Fonticella",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Arthromitus",0,0,0,0,0,0,6,311,0,21,0,0,0,6,8,0,6,0,0,25,274,44,65,88,0,2
"Clostridium_sensu_stricto_1",1067,0,2,0,0,0,0,0,65,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,47,0
"Clostridium_sensu_stricto_18",8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteiniclasticum",11,0,0,19,0,0,0,6,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0
"d__Bacteria_Firmicutes_Clostridia_Eubacteriales_Eubacteriaceae_uncultured",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defluviitaleaceae_UCG-011",0,0,18,0,0,9,12,0,0,0,0,0,21,0,0,0,0,17,32,0,0,0,0,0,0,0
"[Eubacterium]_eligens_group",23,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,29,0
"[Eubacterium]_hallii_group",17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,90,0
"[Eubacterium]_xylanophilum_group",0,0,0,0,0,0,45,0,0,3,6,0,0,0,0,0,74,0,0,210,1978,10,0,0,15,28
"[Ruminococcus]_torques_group",0,0,18,0,0,0,0,0,0,0,11,0,5,0,0,0,0,10,0,0,0,0,0,3,118,0
"A2",10,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0
"Anaerostignum",4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia",45,0,0,79,0,0,0,143,6,14,0,0,15,0,49,0,0,0,0,0,8,6,26,37,15,4
"CAG-56",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,88,0
"Catonella",0,0,24,0,0,8,21,0,0,0,0,0,45,0,0,0,0,25,29,0,0,0,0,0,0,0
"Frisingicoccus",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusicatenibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,67,0
"Hungatella",9,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium",13,0,12,0,0,0,0,9,23,0,10,0,0,7,76,0,57,9,0,151,964,0,0,0,209,17
"Lachnospiraceae_FCS020_group",5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK3A20_group",14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_NK4A136_group",29,0,12,0,0,0,25,6,36,0,5,5,0,19,316,0,62,6,0,142,1069,27,9,20,133,23
"Lachnospiraceae_NK4B4_group",0,0,0,46,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_UCG-004",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,192,0,0,0,0,0
"Lachnospiraceae_UCG-006",0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,9,0,0,16,162,0,0,0,0,0
"Lachnospiraceae_UCG-010",0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"Oribacterium",9,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,66,0
"Roseburia",0,0,23,0,0,9,26,0,0,0,0,0,60,0,2,0,0,25,24,0,0,8,0,0,23,0
"Sellimonas",38,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shuttleworthia",0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0
"Tuzzerella",0,0,10,34,13,0,0,0,0,0,32,26,485,0,44,10,0,0,0,3,32,0,0,0,0,18
"Tyzzerella",0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_uncultured",0,0,5,0,0,0,9,8,5,0,0,0,3,0,150,0,27,0,2,100,774,0,8,4,14,10
"Monoglobus",53,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Clostridium]_methylpentosum_group",0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,12,0,0,36,286,0,3,0,0,0
"[Eubacterium]_coprostanoligenes_group",95,0,14,60,0,0,0,82,33,10,21,5,18,22,90,0,67,0,0,21,6,9,54,27,113,0
"Butyricicoccus",4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,31,0,0,0,0,0
"UCG-008",0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,60,0
"Colidextribacter",10,0,5,0,0,0,0,7,26,0,10,0,0,9,29,0,7,0,0,0,104,0,0,0,103,0
"Intestinimonas",19,0,6,0,0,0,5,0,14,0,9,0,0,0,0,0,0,7,0,20,136,0,0,5,86,0
"NK4A214_group",0,0,0,43,0,0,160,0,19,0,0,0,0,0,9,0,0,4,0,0,40,0,3,0,5,8
"Oscillibacter",0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,7,0
"Oscillospira",18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papillibacter",0,0,0,63,0,0,0,0,0,0,0,0,8,0,0,5,0,0,4,0,0,0,0,0,0,0
"UCG-002",50,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,62,0
"UCG-005",58,0,18,0,0,0,0,0,23,0,17,2,0,11,0,0,0,14,0,0,0,0,0,0,211,0
"d__Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_uncultured",0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,10,0,0,41,245,0,0,0,0,0
"[Eubacterium]_siraeum_group",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0
"Candidatus_Soleaferrea",0,0,0,0,0,0,0,0,0,0,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caproiciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,47,0,0,0,0,0
"Faecalibacterium",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"Harryflintia",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,86,0,0,0,38,0
"Incertae_Sedis",15,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,22,0,0,95,674,0,7,0,0,6
"Ruminococcaceae",0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ruminococcus",24,0,7,7,0,0,0,0,14,0,12,0,7,4,293,4,12,5,0,0,0,4,0,0,160,3
"Subdoligranulum",9,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,44,0
"d__Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_uncultured",6,0,0,0,0,5,100,0,3,0,5,0,2,4,0,2,206,0,0,608,5126,5,0,8,8,66
"UCG-010",3,0,8,112,103,0,0,0,5,0,17,4,56,4,5,8,0,0,0,3,9,0,0,0,106,0
"d__Bacteria_Firmicutes_Clostridia_Oscillospirales_uncultured_uncultured",0,0,0,31,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Peptococcus",0,0,35,0,0,13,23,0,0,0,0,0,59,0,0,0,0,37,35,0,0,0,0,0,0,0
"d__Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,118,0,0,0,0,0
"[Eubacterium]_brachy_group",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,22,237,0,0,0,0,0
"[Eubacterium]_nodatum_group",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,60,0,0,0,0,0
"Family_XIII_AD3011_group",8,0,0,0,0,0,0,38,0,4,0,0,0,4,0,0,0,0,0,0,36,0,5,19,0,0
"d__Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,8,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusibacter",0,0,6,0,0,2,0,0,0,0,0,0,8,0,0,0,0,5,18,0,0,0,0,0,0,0
"Clostridioides",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor",0,0,9,0,0,3,0,0,0,0,0,0,22,2,7,0,0,20,9,0,0,0,0,0,0,0
"Paraclostridium",15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoclostridium",92,0,22,0,0,0,3,0,29,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2,0
"Peptostreptococcus",0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Proteocatella",0,0,12,0,0,4,0,0,0,0,0,0,18,0,0,0,0,8,9,0,0,0,0,0,0,0
"d__Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_uncultured",0,0,22,0,0,3,25,0,0,0,0,0,72,0,0,0,0,22,30,0,0,0,0,0,0,0
"Anaerococcus",14,16,0,62,0,0,0,4,3,0,3,0,0,0,27,0,0,0,0,330,362,3,0,8,0,3
"Ezakiella",0,0,0,0,31,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Fenollaria",0,0,0,0,0,0,0,0,0,0,0,0,5,0,454,0,3,3,0,9,121,0,0,0,0,2
"Finegoldia",14,0,0,0,0,3,52,9,13,28,0,9,0,0,10,0,2,0,0,133,165,14,9,7,0,4
"Guggenheimella",0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keratinibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
"Murdochiella",0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvimonas",0,0,3,255,5,0,6,0,0,0,5,8,22,0,4,0,0,0,14,0,0,0,0,0,0,3
"Peptoniphilus",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"d__Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcales-Tissierellales_uncultured",0,0,15,0,0,0,9,0,0,0,0,0,36,0,0,0,0,14,16,0,0,0,0,0,0,0
"Sedimentibacter",7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfosporosinus",0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"DTU014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
"Limnochordaceae",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium",13,0,6,0,0,0,0,0,7,0,4,0,0,4,16,0,2,0,0,0,6,2,7,0,140,0
"Anaerovibrio",15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella",0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,77,0
"Dialister",43,0,0,0,46,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,7,0,0,0,0
"Megasphaera",13,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0
"Negativicoccus",50,0,0,0,21,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,90,0,0,0,0,0
"Veillonella",0,0,0,0,0,131,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"Syntrophomonas",0,0,0,232,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3
"Cetobacterium",16,18,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,5,0,111,12,0,0
"Fusobacterium",0,0,35,0,0,8,40,0,4,0,0,0,77,0,0,0,0,45,48,0,0,0,0,0,57,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Sneathia",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"AKAU4049",7,0,0,0,0,0,0,0,12,69,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
"BD2-11_terrestrial_group",0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmatimonas",38,0,0,0,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0
"d__Bacteria_Gemmatimonadota_Gemmatimonadetes_Gemmatimonadales_Gemmatimonadaceae_uncultured",64,0,0,0,0,0,88,5,25,54,0,0,0,75,0,0,0,0,3,2,0,38,0,5,35,0
"Longimicrobiaceae",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"S0134_terrestrial_group",2,0,0,0,0,2,315,0,4,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,18
"Latescibacterota",3,0,0,0,0,0,0,2,22,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"MBNT15",0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,0,0,0
"Rokubacteriales",0,0,0,67,0,0,0,0,5,10,0,0,0,48,0,0,0,0,0,0,0,12,0,0,22,0
"WX65",5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"bacteriap25",0,0,0,76,0,0,0,0,0,0,3,0,11,0,21,6,0,0,0,0,0,0,0,0,0,0
"Anaeromyxobacter",13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haliangium",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46
"mle1-27",0,0,0,0,0,0,0,0,0,0,0,0,0,39,37,0,0,0,0,0,0,0,0,0,7,0
"d__Bacteria_Myxococcota_Polyangia_Nannocystales_Nannocystaceae_uncultured",0,0,0,2,0,0,5,0,0,0,18,9,0,0,0,7,0,7,14,0,0,0,0,0,0,0
"Pajaroellobacter",17,0,0,0,0,7,146,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6
"d__Bacteria_Myxococcota_Polyangia_Polyangiales_Sandaracinaceae_uncultured",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"NB1-j",0,0,0,18,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,4,4,0,0,0,0,0
"Nitrospira",0,0,12,2,0,0,0,0,0,0,8,0,0,33,0,0,3,8,0,0,0,0,0,0,168,3
"d__Bacteria_Nitrospirota_Thermodesulfovibrionia_uncultured_uncultured_uncultured",13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absconditabacteriales_(SR1)",0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Saccharimonas",5,8,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,16,209,14,0,0,0,0
"TM7x",0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,3,19,0
"Saccharimonadales",5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM190",0,0,0,0,0,0,55,0,0,0,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
"CL500-3",2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WD2101_soil_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
"Pla3_lineage",0,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Gemmata",0,0,0,0,0,0,0,0,0,0,0,0,0,34,47,0,0,0,0,0,0,0,0,0,14,0
"d__Bacteria_Planctomycetota_Planctomycetes_Gemmatales_Gemmataceae_uncultured",0,0,0,0,0,0,4,0,0,0,4,0,0,114,215,0,0,0,0,0,0,0,0,0,40,192
"Rhodopirellula",0,0,0,0,0,4,19,0,0,0,26,39,0,0,0,0,0,69,109,0,0,0,0,0,0,0
"Rubripirellula",0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"Fuerstia",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"d__Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_uncultured_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0
"d__Bacteria_Planctomycetota_Planctomycetes_uncultured_uncultured_uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
"Gluconobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"Rhodovarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0
"Rubritepida",0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,0,0,0,0,0,0,0,17,0
"Elioraea",0,0,0,0,0,0,0,0,0,0,0,0,0,50,93,0,0,0,0,0,0,0,0,0,19,0
"Azospirillum",10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skermanella",45,0,0,3,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Azospirillales_uncultured_uncultured",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Caedibacter",7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asticcacaulis",14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Brevundimonas",0,0,0,7,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4
"Caulobacter",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_uncultured",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Oceanicaulis",0,0,0,11,0,30,28,0,0,0,99,46,9,0,0,18,0,85,89,0,0,0,0,0,3,4
"SWB02",0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Hyphomonadaceae_uncultured",0,0,2,41,9,158,179,0,0,0,729,260,32,12,27,134,11,496,539,0,0,0,0,0,20,25
"Defluviicoccus",0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dongia",3,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,3,0,2,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Elsterales_uncultured_uncultured",0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Kiloniellales_Fodinicurvataceae_uncultured",22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales_Micavibrionaceae_uncultured",0,0,0,19,5,167,91,0,0,0,687,190,14,10,9,100,0,344,457,0,0,0,0,0,15,15
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales_uncultured_uncultured",7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Micropepsales_Micropepsaceae_uncultured",0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Proteobacteria_Alphaproteobacteria_Paracaedibacterales_Paracaedibacteraceae_uncultured",0,0,0,0,0,0,0,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvibaculaceae",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,12,16,0,0,0,0,0,0,0
"PS1_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0
"SAR116_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0,0,2
"A0839",0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
