feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Without_combined	MS2	0.755923157458579	0.0953493387284785	77	77	2.67420670303588e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Reinekea	Without_combined	MS2	0.745644955209843	0.0864531782698571	77	77	4.93512190136762e-10	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Without_combined	MS2	0.756096684583656	0.0951658189237808	77	77	2.56166843893085e-09	5.30089662600918e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Without_combined	MS2	0.759687971156557	0.0942613415598334	77	77	2.04069816936198e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Without_combined	MS2	0.759221752653117	0.0947243293499867	77	77	2.26478855578915e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Without_combined	MS2	0.761789649663926	0.0950301842926447	77	77	2.39836377682652e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus	Without_combined	MS2	0.761428589398457	0.0954228883336879	77	77	2.6134980703409e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitinibacter	Without_combined	MS2	0.762891514646884	0.0946601134220247	77	77	2.21358402559466e-09	5.30089662600918e-08
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Myxosarcina	Without_combined	MS2	0.752488641262738	0.0944366361801729	77	77	2.26612846810201e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylomarinum	Without_combined	MS2	0.746758279551288	0.0864331483698792	77	77	6.10052414981203e-10	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Jeotgalibacillus	Without_combined	MS2	0.761360865493304	0.0969536375794204	77	77	3.63766642316665e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae.g__Zymobacter	Without_combined	MS2	0.746617831066177	0.0890857906060436	77	77	6.97751542058368e-10	5.30089662600918e-08
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Paeniglutamicibacter	Without_combined	MS2	0.756262573205873	0.0927559294027191	77	77	1.48441893650101e-09	5.30089662600918e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halobellus	Without_combined	MS2	0.764337938922346	0.096333247932762	77	77	3.15956731559881e-09	5.30089662600918e-08
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Cyclobacterium	Without_combined	MS2	0.744489181181059	0.0901974366020689	77	77	9.4269399635022e-10	5.30089662600918e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Robiginitalea	Without_combined	MS2	0.762609554515757	0.0952793719980637	77	77	2.5275296235631e-09	5.30089662600918e-08
k__Bacteria.p__Thermodesulfobacteria.c__Thermodesulfobacteria.o__Thermodesulfobacteriales.f__Thermodesulfobacteriaceae.g__Caldimicrobium	Without_combined	MS2	0.752909142790638	0.0934572627004733	77	77	1.79892773754649e-09	5.30089662600918e-08
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Nocardioidaceae.g__Actinopolymorpha	Without_combined	MS2	0.756752963987255	0.091038879284293	77	77	1.00618323959805e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhodobiaceae.g__Candidatus_Phaeomarinobacter	Without_combined	MS2	0.76280384522643	0.0931932459813735	77	77	1.61840605310877e-09	5.30089662600918e-08
k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Candidatus_Koribacter	Without_combined	MS2	0.755566075243701	0.0929712058338501	77	77	1.56671482733524e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Centipeda	Without_combined	MS2	0.750836481170617	0.0925328922108355	77	77	2.01181379130387e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Nautiliales.f__Nautiliaceae.g__Nautilia	Without_combined	MS2	0.751640586153822	0.0955327041515823	77	77	2.94822441938888e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Obesumbacterium	Without_combined	MS2	0.748504357902312	0.0901690614005078	77	77	8.7941849805981e-10	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Alkalilimnicola	Without_combined	MS2	0.752167217620215	0.0850119382296193	77	76	1.68782646300861e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Aliiroseovarius	Without_combined	MS2	0.766999119434464	0.096851114778615	77	77	3.53506699508282e-09	5.30089662600918e-08
k__Bacteria.p__Cyanobacteria.o__Stigonematales.g__Mastigocladopsis	Without_combined	MS2	0.743563708160618	0.0902316916238899	77	77	9.65263598574716e-10	5.30089662600918e-08
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Candidatus_Nitrosoarchaeum	Without_combined	MS2	0.762754922687975	0.0967583203897417	77	77	3.46706011078172e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Wolinella	Without_combined	MS2	0.770123414167309	0.0972926589128084	77	77	3.9441598061721e-09	5.30089662600918e-08
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus	Without_combined	MS2	0.767889614044725	0.0972543890757202	77	77	3.85403060548869e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Marinococcus	Without_combined	MS2	0.758205287091862	0.0958936617443423	77	77	2.95307448213039e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfobacula	Without_combined	MS2	0.75472062501573	0.0936167181326668	77	77	1.829028332757e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Thermincola	Without_combined	MS2	0.774389412370158	0.0941893119149897	77	77	2.39251631449478e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia	Without_combined	MS2	0.745236636738341	0.0912938906219769	77	77	1.21075832716218e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Thalassobium	Without_combined	MS2	0.755791631508463	0.0961169915874761	77	77	3.17995442130198e-09	5.30089662600918e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Mesonia	Without_combined	MS2	0.756960758586742	0.0946531824306204	77	77	2.26485493765572e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Basfia	Without_combined	MS2	0.752305143836229	0.0946504518437142	77	77	2.38613506183047e-09	5.30089662600918e-08
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Candidatus_Atelocyanobacterium	Without_combined	MS2	0.754906326135066	0.0939756794498779	77	77	1.98123677243555e-09	5.30089662600918e-08
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Coriobacterium	Without_combined	MS2	0.760032815158643	0.0957633420554904	77	77	2.83252535962089e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Marinagarivorans	Without_combined	MS2	0.752016674551815	0.0876836003221626	77	11	4.86310775165979e-10	5.30089662600918e-08
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Solitalea	Without_combined	MS2	0.763610250266477	0.0927599640287361	77	46	1.48357235629297e-09	5.30089662600918e-08
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Thermoplasmatales.f__Ferroplasmaceae.g__Ferroplasma	Without_combined	MS2	0.757380983529207	0.0970510297688374	77	75	3.84107533120704e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Bermanella	Without_combined	MS2	0.741059507171667	0.0887490921522442	77	77	7.08163468020605e-10	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Rummeliibacillus	Without_combined	MS2	0.762383467494042	0.0972992364521515	77	77	3.8962220004871e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobulbaceae.g__Desulfurivibrio	Without_combined	MS2	0.759067139005856	0.0952828887062177	77	77	2.56427427131748e-09	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Pseudobutyrivibrio	Without_combined	MS2	0.745102701826993	0.0930647563362677	77	77	1.85776805980833e-09	5.30089662600918e-08
k__Bacteria.p__Thermotogae.c__Thermotogae.o__Kosmotogales.f__Kosmotogaceae.g__Mesotoga	Without_combined	MS2	0.759031381640266	0.0941384896995526	77	77	1.99162536586443e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Balneatrix	Without_combined	MS2	0.741272480202334	0.0860839878834813	77	77	4.95136934558091e-10	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Sulfuricurvum	Without_combined	MS2	0.754803011906908	0.0876052995938114	77	76	4.80455073373488e-10	5.30089662600918e-08
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Without_combined	MS2	0.758364522805997	0.0970000654809011	77	77	3.76032410154536e-09	5.30089662600918e-08
k__Bacteria.p__Chloroflexi.c__Ardenticatenia.o__Ardenticatenales.f__Ardenticatenaceae.g__Ardenticatena	Without_combined	MS2	0.76550824173167	0.0973486060472147	77	6	3.90760796188442e-09	5.30089662600918e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Halostagnicola	Without_combined	MS2	0.757302046680851	0.0967964130786259	77	77	3.6349995015141e-09	5.30089662600918e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Tatlockia	Without_combined	MS2	0.754481366608648	0.0858201942550404	77	77	4.42637362704161e-10	5.30089662600918e-08
